203,1,PROT,PROTEIN
204,1,FAT,FAT (TOTAL LIPIDS)
205,1,CARB,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)"
207,1,ASH,"ASH, TOTAL"
208,2,KCAL,ENERGY (KILOCALORIES)
810,1,STAR,STARCH
210,1,SUCR,SUCROSE
211,1,GLUC,GLUCOSE
212,1,FRUC,FRUCTOSE
213,1,LACT,LACTOSE
214,1,MALT,MALTOSE
221,1,ALCO,ALCOHOL
245,3,OXAL,OXALIC ACID
255,1,H2O,MOISTURE
260,1,MANN,MANNITOL
261,1,SORB,SORBITOL
262,3,CAFF,CAFFEINE
263,3,THBR,THEOBROMINE
268,4,KJ,ENERGY (KILOJOULES)
269,1,TSUG,"SUGARS, TOTAL"
287,1,GAL,GALACTOSE
291,1,TDF,"FIBRE, TOTAL DIETARY"
301,3,CA,CALCIUM
303,3,FE,IRON
304,3,MG,MAGNESIUM
305,3,P,PHOSPHORUS
306,3,K,POTASSIUM
307,3,NA,SODIUM
309,3,ZN,ZINC
312,3,CU,COPPER
315,3,MN,MANGANESE
317,5,SE,SELENIUM
319,5,RT-µG,RETINOL
814,5,RAE,RETINOL ACTIVITY EQUIVALENTS
321,5,BC-µG,BETA CAROTENE
834,5,AC-µG,ALPHA CAROTENE
323,3,ATMG,ALPHA-TOCOPHEROL
324,6,D-IU,VITAMIN D (INTERNATIONAL UNITS)
876,5,D2-µG,"VITAMIN D2, ERGOCALCIFEROL"
339,5,D3+D2-µG,VITAMIN D (D2 + D3)
835,5,CRYPX,BETA CRYPTOXANTHIN
836,5,LYCPN,LYCOPENE
837,5,LUT+ZEA,LUTEIN AND ZEAXANTHIN
811,3,BTMG,BETA-TOCOPHEROL
812,3,GTMG,GAMMA-TOCOPHEROL
813,3,DTMG,DELTA-TOCOPHEROL
401,3,VITC,VITAMIN C
404,3,THIA,THIAMIN
405,3,RIBO,RIBOFLAVIN
406,3,N-MG,NIACIN (NICOTINIC ACID) PREFORMED
409,7,N-NE,TOTAL NIACIN EQUIVALENT
410,3,PANT,PANTOTHENIC ACID
415,3,B6,VITAMIN B-6
416,5,BIOT,BIOTIN
417,5,FOLA,TOTAL FOLACIN
418,5,B12,VITAMIN B-12
862,3,CHOLN,"CHOLINE, TOTAL"
430,5,VITK,VITAMIN K
431,5,FOAC,FOLIC ACID
806,5,FOLN,NATURALLY OCCURRING FOLATE
815,5,DFE,DIETARY FOLATE EQUIVALENTS
863,3,BETN,BETAINE
501,1,TRP,TRYPTOPHAN
502,1,THR,THREONINE
503,1,ISO,ISOLEUCINE
504,1,LEU,LEUCINE
505,1,LYS,LYSINE
506,1,MET,METHIONINE
507,1,CYS,CYSTINE
508,1,PHE,PHENYLALANINE
509,1,TYR,TYROSINE
510,1,VAL,VALINE
511,1,ARG,ARGININE
512,1,HIS,HISTIDINE
513,1,ALA,ALANINE
514,1,ASP,ASPARTIC ACID
515,1,GLU,GLUTAMIC ACID
516,1,GLY,GLYCINE
517,1,PRO,PROLINE
518,1,SER,SERINE
828,1,HYP,HYDROXYPROLINE
550,3,ASPA,ASPARTAME
875,3,ATMG-A,"ALPHA-TOCOPHEROL, ADDED"
874,5,B12-A,"VITAMIN B12, ADDED"
601,3,CHOL,CHOLESTEROL
605,1,TRFA,"FATTY ACIDS, TRANS, TOTAL"
606,1,TSAT,"FATTY ACIDS, SATURATED, TOTAL"
607,1,4:0,"FATTY ACIDS, SATURATED, 4:0, BUTANOIC"
608,1,6:0,"FATTY ACIDS, SATURATED, 6:0, HEXANOIC"
609,1,8:0,"FATTY ACIDS, SATURATED, 8:0, OCTANOIC"
610,1,10:0,"FATTY ACIDS, SATURATED, 10:0, DECANOIC"
611,1,12:0,"FATTY ACIDS, SATURATED, 12:0, DODECANOIC"
612,1,14:0,"FATTY ACIDS, SATURATED, 14:0, TETRADECANOIC"
613,1,16:0,"FATTY ACIDS, SATURATED, 16:0, HEXADECANOIC"
614,1,18:0,"FATTY ACIDS, SATURATED, 18:0, OCTADECANOIC"
615,1,20:0,"FATTY ACIDS, SATURATED, 20:0, EICOSANOIC"
617,1,18:1undiff,"FATTY ACIDS, MONOUNSATURATED, 18:1undifferentiated, OCTADECENOIC"
618,1,18:2undiff,"FATTY ACIDS, POLYUNSATURATED, 18:2undifferentiated, LINOLEIC, OCTADECADIENOIC"
619,1,18:3undiff,"FATTY ACIDS, POLYUNSATURATED, 18:3undifferentiated, LINOLENIC, OCTADECATRIENOIC"
620,1,20:4undiff,"FATTY ACIDS, POLYUNSATURATED, 20:4, EICOSATETRAENOIC"
621,1,22:6n-3DHA,"FATTY ACIDS, POLYUNSATURATED, 22:6 n-3, DOCOSAHEXAENOIC (DHA)"
